meter_id	timestamp	kwh	temp_c
M2000	2024-01-01 0:00	1.068	-1.8
M2000	2024-01-01 1:00	0.8867	-2.4
M2000	2024-01-01 2:00	0.8388	-3.1
M2000	2024-01-01 3:00	0.8914	-3.9
M2000	2024-01-01 4:00	0.8115	-4.7
M2000	2024-01-01 5:00	1.1866	-5.4
M2000	2024-01-01 6:00	1.9447	-6
M2000	2024-01-01 7:00	2.0714	-6.5
M2000	2024-01-01 8:00	2.106	-6.8
M2000	2024-01-01 9:00	1.536	-6.9
M2000	2024-01-01 10:00	1.2197	-6.8
M2000	2024-01-01 11:00	1.4883	-6.5
M2000	2024-01-01 12:00	1.4335	-6
M2000	2024-01-01 13:00	1.4494	-5.4
M2000	2024-01-01 14:00	1.2162	-4.7
M2000	2024-01-01 15:00	1.474	-3.9
M2000	2024-01-01 16:00	1.4613	-3.1
M2000	2024-01-01 17:00	2.1271	-2.4
M2000	2024-01-01 18:00	2.7534	-1.8
M2000	2024-01-01 19:00	3.0855	-1.3
M2000	2024-01-01 20:00	3.2107	-1
M2000	2024-01-01 21:00	2.4423	-0.9
M2000	2024-01-01 22:00	1.7234	-1
M2000	2024-01-01 23:00	1.1401	-1.3
M2000	2024-01-02 0:00	0.9681	1.1
M2000	2024-01-02 1:00	0.8488	0.5
M2000	2024-01-02 2:00	0.7572	-0.2
M2000	2024-01-02 3:00	0.7898	-1
M2000	2024-01-02 4:00	0.786	-1.8
M2000	2024-01-02 5:00	1.0029	-2.5
M2000	2024-01-02 6:00	1.554	-3.1
M2000	2024-01-02 7:00	2.1964	-3.6
M2000	2024-01-02 8:00	1.856	-3.9
M2000	2024-01-02 9:00	1.3889	-4
M2000	2024-01-02 10:00	1.44	-3.9
M2000	2024-01-02 11:00	1.4816	-3.6
M2000	2024-01-02 12:00	1.4621	-3.1
M2000	2024-01-02 13:00	1.4186	-2.5
M2000	2024-01-02 14:00	1.2134	-1.8
M2000	2024-01-02 15:00	1.2449	-1
M2000	2024-01-02 16:00	1.4865	-0.2
M2000	2024-01-02 17:00	1.899	0.5
M2000	2024-01-02 18:00	2.8266	1.1
M2000	2024-01-02 19:00	2.617	1.6
M2000	2024-01-02 20:00	2.9964	1.9
M2000	2024-01-02 21:00	2.0648	2
M2000	2024-01-02 22:00	1.6115	1.9
M2000	2024-01-02 23:00	1.0352	1.6
M2000	2024-01-03 0:00	0.9369	0.8
M2000	2024-01-03 1:00	0.8914	0.2
M2000	2024-01-03 2:00	0.8515	-0.5
M2000	2024-01-03 3:00	0.8334	-1.3
M2000	2024-01-03 4:00	0.7561	-2.1
M2000	2024-01-03 5:00	1.0316	-2.8
M2000	2024-01-03 6:00	1.6153	-3.4
M2000	2024-01-03 7:00	1.992	-3.9
M2000	2024-01-03 8:00	1.9914	-4.2
M2000	2024-01-03 9:00	1.5105	-4.3
M2000	2024-01-03 10:00	1.3678	-4.2
M2000	2024-01-03 11:00	1.4599	-3.9
M2000	2024-01-03 12:00	1.3431	-3.4
M2000	2024-01-03 13:00	1.2245	-2.8
M2000	2024-01-03 14:00	1.164	-2.1
M2000	2024-01-03 15:00	1.3174	-1.3
M2000	2024-01-03 16:00	1.4843	-0.5
M2000	2024-01-03 17:00	2.01	0.2
M2000	2024-01-03 18:00	2.9133	0.8
M2000	2024-01-03 19:00	2.6165	1.3
M2000	2024-01-03 20:00	2.5929	1.6
M2000	2024-01-03 21:00	2.2492	1.7
M2000	2024-01-03 22:00	1.4703	1.6
M2000	2024-01-03 23:00	1.1241	1.3
M2000	2024-01-04 0:00	1.0765	-3
M2000	2024-01-04 1:00	0.9787	-3.6
